,y,Value
250,y251,"tf.Tensor(0.04192486106994795, shape=(), dtype=float64)"
251,y252,"tf.Tensor(0.041293656021089406, shape=(), dtype=float64)"
252,y253,"tf.Tensor(0.04219916591189663, shape=(), dtype=float64)"
253,y254,"tf.Tensor(0.041240610768998195, shape=(), dtype=float64)"
254,y255,"tf.Tensor(0.04303676547328162, shape=(), dtype=float64)"
255,y256,"tf.Tensor(0.04165193747634917, shape=(), dtype=float64)"
256,y257,"tf.Tensor(0.041967405529533444, shape=(), dtype=float64)"
257,y258,"tf.Tensor(0.042444075565862494, shape=(), dtype=float64)"
258,y259,"tf.Tensor(0.042367722702581254, shape=(), dtype=float64)"
259,y260,"tf.Tensor(0.0432219696379101, shape=(), dtype=float64)"
260,y261,"tf.Tensor(0.042105927800097455, shape=(), dtype=float64)"
261,y262,"tf.Tensor(0.04244509583454846, shape=(), dtype=float64)"
262,y263,"tf.Tensor(0.043827759886515605, shape=(), dtype=float64)"
263,y264,"tf.Tensor(0.043665201745192395, shape=(), dtype=float64)"
264,y265,"tf.Tensor(0.04450527858898323, shape=(), dtype=float64)"
265,y266,"tf.Tensor(0.04282083876949047, shape=(), dtype=float64)"
266,y267,"tf.Tensor(0.04199719014798069, shape=(), dtype=float64)"
267,y268,"tf.Tensor(0.043138156080387735, shape=(), dtype=float64)"
268,y269,"tf.Tensor(0.04205344874895575, shape=(), dtype=float64)"
269,y270,"tf.Tensor(0.04059469336367337, shape=(), dtype=float64)"
270,y271,"tf.Tensor(0.04163952418246234, shape=(), dtype=float64)"
271,y272,"tf.Tensor(0.041216276706233325, shape=(), dtype=float64)"
272,y273,"tf.Tensor(0.04139665330884513, shape=(), dtype=float64)"
273,y274,"tf.Tensor(0.041242241349770614, shape=(), dtype=float64)"
274,y275,"tf.Tensor(0.040958452760379085, shape=(), dtype=float64)"
275,y276,"tf.Tensor(0.04195875876078652, shape=(), dtype=float64)"
276,y277,"tf.Tensor(0.04201194241545725, shape=(), dtype=float64)"
277,y278,"tf.Tensor(0.04226853732763218, shape=(), dtype=float64)"
278,y279,"tf.Tensor(0.04274320997094466, shape=(), dtype=float64)"
279,y280,"tf.Tensor(0.044032471606236634, shape=(), dtype=float64)"
280,y281,"tf.Tensor(0.04625110994288553, shape=(), dtype=float64)"
281,y282,"tf.Tensor(0.045908690961440485, shape=(), dtype=float64)"
282,y283,"tf.Tensor(0.04705743737338468, shape=(), dtype=float64)"
283,y284,"tf.Tensor(0.047160487411647696, shape=(), dtype=float64)"
